date,link,title
2016-01-17 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-clenu-bankovni-rady-cnb.htm,Projev prezidenta republiky při jmenování členů bankovní rady ČNB
2016-01-14 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-slavnostni-bohosluzbe-u-prilezitosti-oslav-narozeni-karla-iv.htm,Projev prezidenta republiky při slavnostní bohoslužbě u příležitosti oslav narození Karla IV.
2016-01-12 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-nových-rektoru-448593.htm,Projev prezidenta republiky při jmenování nových rektorů
2016-01-11 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-foru-partnerských-regionu-jihoceskeho-kraje-504625.htm,Projev prezidenta republiky při Fóru partnerských regionů Jihočeského kraje
2016-01-09 00:05:00,cz/clanky/projev-prezidenta-republiky-milose-zemana-u-prilezitosti-dne-vitezstvi-ve-velke-vlastenecke-valce-na-velvyslanectvi-ruske-federace-803848.htm,Projev prezidenta republiky Miloše Zemana u příležitosti Dne vítězství ve Velké vlastenecké válce na velvyslanectví Ruské federace
2016-01-08 00:05:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-nových-generalu532471.htm,Projev prezidenta republiky při jmenování nových generálů
2016-01-28 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-navsteve-farmy-capi-hnizdo-26370.htm,Projev prezidenta republiky při návštěvě farmy Čapí hnízdo
2016-01-21 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-vyhlaseni-23-rocniku-souteze-„manazer-roku-2015“-617214.htm,Projev prezidenta republiky při vyhlášení 23. ročníku soutěže „Manažer roku 2015“
2016-01-20 00:04:00,cz/clanky/projev-prezidenta-republiky-na-tiskove-konferenci-k-ukonceni-navstevy-stredoceskeho-kraje-261469.htm,Projev prezidenta republiky na tiskové konferenci k ukončení návštěvy Středočeského kraje
2016-01-19 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-piloty-kadety-a-zamestnanci-spolecnosti-f-air-a-letiste-benesov.htm,"Projev prezidenta republiky při setkání s piloty, kadety a zaměstnanci společnosti F AIR a Letiště Benešov"
2016-01-18 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-zastupiteli-stredoceskeho-kraje-2841.htm,Projev prezidenta republiky při setkání se zastupiteli Středočeského kraje
2016-01-18 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-zamestnanci-spolecnosti-sellier---bellot-as-292501.htm,Projev prezidenta republiky při setkání se zaměstnanci společnosti Sellier & Bellot a.s.
2016-01-12 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-prijeti-clenu-policejniho-sboru-.htm,Projev prezidenta republiky při přijetí členů policejního sboru 
2016-01-11 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-tiskem-u-prilezitosti-navstevy-prezidenta-rakouske-republiky.htm,Projev prezidenta republiky při setkání s tiskem u příležitosti návštěvy prezidenta Rakouské republiky
2016-01-07 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-predavani-zlateho-zachranarskeho-krize-786880.htm,Projev prezidenta republiky při předávání Zlatého záchranářského kříže
2016-01-06 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-tiskem-u-prilezitosti-navstevy-prezidenta-cerne-hory-254379.htm,Projev prezidenta republiky při setkání s tiskem u příležitosti návštěvy prezidenta Černé Hory
2016-01-01 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-obcany-vrchlabi-62851.htm,Projev prezidenta republiky při setkání s občany Vrchlabí
2016-01-01 00:04:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k-ukonceni-navstevy-kralovehradeckeho-kraje-57176.htm,Projev prezidenta republiky při tiskové konferenci k ukončení návštěvy Královéhradeckého kraje
2016-01-31 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-zastupiteli-kralovehradeckeho-kraje-190070.htm,Projev prezidenta republiky při setkání se zastupiteli Královéhradeckého kraje
2016-01-31 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-obcany-trebechovic-pod-orebem-285023.htm,Projev prezidenta republiky při setkání s občany Třebechovic pod Orebem
2016-01-30 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-zahajeni-diskuzniho-stolu-s-ceskými-a-cinskými-investory-870662.htm,Projev prezidenta republiky při zahájení diskuzního stolu s českými a čínskými investory
2016-01-29 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-tiskem-u-prilezitosti-navstevy-prezidenta-clr.htm,Projev prezidenta republiky při setkání s tiskem u příležitosti návštěvy prezidenta ČLR
2016-01-29 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-slavnostni-veceri-pri-navsteve-prezidenta-clr-47919.htm,Projev prezidenta republiky při slavnostní večeři při návštěvě prezidenta ČLR
2016-01-21 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-vyhlaseni-ankety-„fotbalista-roku-2015“-264514.htm,Projev prezidenta republiky při vyhlášení ankety „Fotbalista roku 2015“
2016-01-17 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-prijeti-finalistu-xxiii-rocniku-ankety-zlaty-amos-877796.htm,Projev prezidenta republiky při přijetí finalistů XXIII. ročníku ankety Zlatý Ámos
2016-01-15 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k-navsteve-polskeho-prezidenta-v-cr-373204.htm,Projev prezidenta republiky při tiskové konferenci k návštěvě polského prezidenta v ČR
2016-01-11 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-ucasti-na-42-schuzi-poslanecke-snemovny-152758.htm,Projev prezidenta republiky při účasti na 42. schůzi Poslanecké sněmovny
2016-01-09 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-tiskove-konferenci-k-ukonceni-navstevy-karlovarskeho-kraje-887020.htm,Projev prezidenta republiky při tiskové konferenci k ukončení návštěvy Karlovarského kraje
2016-01-08 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-obcany-kynsperku-nad-ohri-957938.htm,Projev prezidenta republiky při setkání s občany Kynšperku nad Ohří
2016-01-07 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-zamestnanci-spolecnosti-rotas-strojirny-spol-s-ro.htm,Projev prezidenta republiky při setkání se zaměstnanci společnosti Rotas strojírny spol. s r.o.
2016-01-07 00:03:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-s-obcany-nejdku-54745.htm,Projev prezidenta republiky při setkání s občany Nejdku
